Location,Month,PVOUT_avg_daily,PVOUT_annual_avg_daily,GHI_annual_avg_daily,DNI_annual_avg_daily,TEMP_annual_avg
Adelaide,1,5.639780521392822,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Adelaide,2,5.386416912078857,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Adelaide,3,4.873865604400635,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Adelaide,4,4.169172286987305,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Adelaide,5,3.105065107345581,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Adelaide,6,2.881598711013794,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Adelaide,7,2.8790786266326904,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Adelaide,8,3.5269057750701904,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Adelaide,9,4.34052038192749,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Adelaide,10,5.025333881378174,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Adelaide,11,5.193905830383301,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Adelaide,12,5.224113941192627,4.348316192626953,4.785174369812012,5.347702980041504,16.334978103637695
Albany,1,4.843597888946533,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albany,2,4.470417499542236,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albany,3,4.001437664031982,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albany,4,3.4222371578216553,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albany,5,3.050117254257202,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albany,6,2.8313815593719482,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albany,7,2.8051984310150146,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albany,8,3.273864507675171,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albany,9,3.845327377319336,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albany,10,4.272207736968994,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albany,11,4.562713146209717,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albany,12,4.798566818237305,3.8454132080078125,4.203291893005371,3.9238195419311523,15.513996124267578
Albury,1,5.389636993408203,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
Albury,2,5.201672077178955,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
Albury,3,5.0128703117370605,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
Albury,4,4.480749607086182,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
Albury,5,3.557070255279541,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
Albury,6,3.06864857673645,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
Albury,7,2.999964475631714,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
Albury,8,3.687131643295288,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
Albury,9,4.6630730628967285,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
Albury,10,5.140890121459961,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
Albury,11,5.052615642547607,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
Albury,12,5.209371089935303,4.451210975646973,4.8191962242126465,5.74550724029541,15.253625869750977
AliceSprings,1,4.899305820465088,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
AliceSprings,2,5.333611011505127,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
AliceSprings,3,5.362435817718506,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
AliceSprings,4,5.482049942016602,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
AliceSprings,5,5.066433906555176,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
AliceSprings,6,4.93720006942749,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
AliceSprings,7,5.17543363571167,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
AliceSprings,8,5.722911834716797,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
AliceSprings,9,5.645356178283691,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
AliceSprings,10,5.541493892669678,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
AliceSprings,11,4.9615936279296875,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
AliceSprings,12,4.740323066711426,5.238108158111572,6.147528171539307,7.671685218811035,21.73433494567871
BadgerysCreek,1,4.227555274963379,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
BadgerysCreek,2,3.9016854763031006,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
BadgerysCreek,3,4.020568370819092,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
BadgerysCreek,4,3.997058868408203,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
BadgerysCreek,5,4.124528408050537,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
BadgerysCreek,6,3.379193067550659,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
BadgerysCreek,7,4.1049485206604,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
BadgerysCreek,8,4.538815975189209,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
BadgerysCreek,9,4.903337001800537,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
BadgerysCreek,10,4.5163960456848145,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
BadgerysCreek,11,4.182955265045166,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
BadgerysCreek,12,4.158256530761719,4.173910140991211,4.419452667236328,4.865993022918701,16.38269805908203
Ballarat,1,5.3205671310424805,3.914771795272827,4.241317272186279,4.477201461791992,12.164566040039062
Ballarat,2,5.0112199783325195,3.914771795272827,4.241317272186279,4.477201461791992,12.164566040039062
Ballarat,3,4.541045665740967,3.914771795272827,4.241317272186279,4.477201461791992,12.164566040039062
Ballarat,4,3.614737033843994,3.914771795272827,4.241317272186279,4.477201461791992,12.164566040039062
Ballarat,5,2.740273952484131,3.914771795272827,4.241317272186279,4.477201461791992,12.164566040039062
Ballarat,6,2.390760898590088,3.914771795272827,4.241317272186279,4.477201461791992,12.164566040039062
